,Sequence_name,Prediction,probability
0,|1|Training,Non-autophagy protein,64.39%
1,|1|Training,Non-autophagy protein,99.71%
2,|1|Training,Non-autophagy protein,92.81%
3,|1|Training,Non-autophagy protein,99.83%
4,|1|Training,Non-autophagy protein,85.85%
5,|1|Training,Non-autophagy protein,89.67%
6,|1|Training,Non-autophagy protein,77.21%
7,|1|Training,Autophagy Protein,90.02%
8,|1|Training,Non-autophagy protein,99.86%
9,|1|Training,Autophagy Protein,90.78%
10,|1|Training,Non-autophagy protein,81.63%
11,|1|Training,Non-autophagy protein,76.22%
12,|1|Training,Non-autophagy protein,97.33%
13,|1|Training,Autophagy Protein,85.01%
14,|1|Training,Non-autophagy protein,97.83%
15,|1|Training,Autophagy Protein,87.67%
16,|1|Training,Autophagy Protein,97.33%
17,|1|Training,Non-autophagy protein,99.30%
18,|1|Training,Non-autophagy protein,58.08%
19,|1|Training,Non-autophagy protein,92.97%
20,|1|Training,Non-autophagy protein,94.16%
21,|1|Training,Non-autophagy protein,98.89%
22,|1|Training,Autophagy Protein,82.40%
23,|1|Training,Non-autophagy protein,87.45%
24,|1|Training,Non-autophagy protein,56.93%
25,|1|Training,Non-autophagy protein,62.51%
26,|1|Training,Non-autophagy protein,87.79%
27,|1|Training,Non-autophagy protein,97.12%
28,|1|Training,Non-autophagy protein,98.56%
29,|1|Training,Non-autophagy protein,99.27%
30,|1|Training,Non-autophagy protein,96.97%
31,|1|Training,Non-autophagy protein,87.80%
32,|1|Training,Non-autophagy protein,84.08%
33,|1|Training,Autophagy Protein,75.81%
34,|1|Training,Non-autophagy protein,99.20%
35,|1|Training,Non-autophagy protein,75.24%
36,|1|Training,Autophagy Protein,83.88%
37,|1|Training,Non-autophagy protein,86.96%
38,|1|Training,Non-autophagy protein,65.22%
39,|1|Training,Non-autophagy protein,93.92%
40,|1|Training,Autophagy Protein,87.16%
41,|1|Training,Non-autophagy protein,82.83%
42,|1|Training,Non-autophagy protein,98.64%
43,|1|Training,Non-autophagy protein,74.03%
44,|1|Training,Non-autophagy protein,99.39%
45,|1|Training,Non-autophagy protein,99.29%
46,|1|Training,Non-autophagy protein,96.96%
47,|1|Training,Non-autophagy protein,90.82%
48,|1|Training,Non-autophagy protein,76.18%
49,|1|Training,Non-autophagy protein,74.24%
50,|1|Training,Non-autophagy protein,99.86%
51,|1|Training,Autophagy Protein,95.67%
52,|1|Training,Non-autophagy protein,99.81%
53,|1|Training,Non-autophagy protein,80.29%
54,|1|Training,Non-autophagy protein,99.70%
55,|1|Training,Non-autophagy protein,98.91%
56,|1|Training,Non-autophagy protein,73.84%
57,|1|Training,Non-autophagy protein,50.62%
58,|1|Training,Non-autophagy protein,96.54%
59,|1|Training,Non-autophagy protein,60.21%
60,|1|Training,Non-autophagy protein,96.95%
61,|1|Training,Non-autophagy protein,95.11%
62,|1|Training,Non-autophagy protein,86.59%
63,|1|Training,Non-autophagy protein,99.18%
64,|1|Training,Autophagy Protein,98.10%
65,|1|Training,Autophagy Protein,74.88%
